1 0 7f 7f 7f 7f 7f 7f 
1 1 0 0 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
1 0 0 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 1 0 1 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 1 0 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
0 0 1 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 1 0 7f 7f 7f 7f 
0 1 0 0 7f 7f 7f 7f 
1 1 1 0 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 1 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 1 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 1 1 1 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
0 1 1 0 7f 7f 7f 7f 
1 1 0 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
1 1 1 0 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 0 1 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 1 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 1 1 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 1 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 1 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
1 0 1 0 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 0 0 1 7f 7f 7f 7f 
0 0 0 0 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
1 0 1 1 7f 7f 7f 7f 
