1 0 7f 7f 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 4 5 6 7 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
1 3 2 0 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 4 5 6 7 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 7f 7f 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
1 3 2 0 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 7f 7f 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 3 2 1 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 7f 7f 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
1 0 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
