0 0 7f 7f 7f 7f 7f 7f 
0 0 1 1 7f 7f 7f 7f 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 1 1 2 2 3 3 
0 0 1 1 2 2 3 3 
0 0 1 1 2 2 3 3 
0 0 1 1 2 2 3 3 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 1 1 2 2 3 3 
0 0 1 1 2 2 3 3 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 0 0 1 3 2 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 1 1 2 2 3 3 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 0 0 0 1 1 1 1 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 3 3 2 6 7 
0 1 1 1 1 3 3 3 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 1 1 3 3 3 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 1 1 3 3 3 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 1 1 3 3 3 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 1 1 3 3 3 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 1 3 2 2 3 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
