0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 7f 7f 7f 7f 7f 7f 
1 2 3 0 7f 7f 7f 7f 
0 1 4 5 8 9 c d 
0 1 2 3 4 5 6 7 
1 3 5 7 6 4 2 0 
0 1 2 3 4 5 6 7 
0 2 4 6 c d e f 
1 2 5 6 9 c 7 4 
0 4 8 c 10 14 d 9 
5 7 9 b 6 4 0 1 
0 3 5 7 c 6 f 4 
0 1 2 3 4 5 6 7 
4 10 6 0 5 d e 2 
0 1 4 5 6 7 2 3 
0 4 8 c d 9 18 1c 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
4 0 1 7 6 5 c 1c 
0 1 2 3 4 5 8 d 
0 5 4 c 1c 10 14 6 
0 1 4 c 8 18 14 1c 
0 4 8 c 18 10 14 1c 
0 1 7 9 4 5 6 2 
0 4 5 1 8 9 a c 
0 1 4 6 5 c 8 14 
0 4 8 c 10 14 18 1c 
0 4 8 c 10 14 18 1c 
0 4 8 c 10 14 18 1c 
0 4 8 c 10 14 18 1c 
0 4 8 c 10 14 18 1c 
